headline,sentiment
'F-18s LAUNCH': Atlantic publishes purported Yemen strike details from Signal chat - ABC News,0.0
Alien Enemies Act deportations blocked by appeals court - Axios,-0.25
Tufts international graduate student taken into ICE custody - GBH News,0.0
"Trump administration pulls back billions in Covid-era funding for state, local health departments - CNN",0.0
Trump floats tariff reduction if China agrees to TikTok deal - NBC News,0.0
NPR and PBS testify in heated hearing of Marjorie Taylor Greene’s Doge panel - The Guardian US,0.0
Democrats take hope from upset win in a GOP-leaning Pennsylvania state Senate district - The Associated Press,0.8
"Luigi Mangione Was Sent Socks With Heart-Shaped Notes Inside, Prosecutors Say - The New York Times",0.1364
Trump signs new executive order to change election rules: What we know - Al Jazeera English,0.0682
Denmark welcomes US decision to skip Greenland dog-sled race amid Trump spat - Reuters,0.0
Demonstrations swell as thousands join second day of protests against Hamas in Gaza - The Times of Israel,0.0
At least 24 dead as wildfires ravage southern South Korea and force thousands to evacuate - KSL.com,-0.1667
"What to know about Pituffik, the only U.S. military base in Greenland - NPR",-0.3
"Four U.S. soldiers killed during training in Lithuania, says NATO chief - The Washington Post",-0.2
Trump announces 25% tariffs on car imports to US - BBC.com,0.0
Stock futures fall as investors weigh Trump's auto tariffs: Live updates - CNBC,0.1364
Judge allows ‘New York Times’ copyright case against OpenAI to go forward - NPR,0.1364
Dollar Tree says it's winning over higher-income shoppers and may offset tariffs with price hikes - CNBC,0.5
Canon goes all in on vlogging with the PowerShot V1 compact and R50 V mirrorless cameras - Engadget,0.0
OpenAI CEO Responds to ChatGPT Users Creating Studio Ghibli-Style AI Images - Variety,0.0
"Apple’s base iPad didn’t get AI, and this chart totally explains why - 9to5Mac",-0.4
Some Google Pixel owners reporting failed alarm clocks - 9to5Google,-0.5
"Every ‘X-Men’ Actor in the ‘Avengers: Doomsday’ Cast: Channing Tatum, Patrick Stewart, James Marsden, Ian McKellen and More - Variety",0.5
"‘The Studio’ Bosses Evan Goldberg And Seth Rogen Talk Hollywood, Inspiration & Killing Martin Scorsese’s Fake Movie - Deadline",-0.5
'Rust' movie trailer released 4 years after cinematographer Halyna Hutchins' on-set death - NBC News,0.0
‘Snow White’ Producer’s Son Slams “Immature” Rachel Zegler: “Clearly Hurt the Film” - Hollywood Reporter,0.05
"2025 MLB predictions: Expert picks for MVP, Cy Young and other major awards for new baseball season - CBS Sports",0.0435
"2025 NCAA Tournament bracket: Sweet 16 predictions, March Madness second chance picks by top model - CBS Sports",0.2833
Russell Wilson expects to be the Giants starter - NBC Sports,0.0
Houston coach Kelvin Sampson is winning after his career was derailed for NCAA violations that are now allowed - CBS Sports,0.5
Supermoon This Week Will Coincide With Rare 'Devil Horns' Solar Eclipse - ScienceAlert,0.3
Neptune’s auroras are captured in great detail by NASA’s Webb telescope - The Associated Press,0.8
Dying SpaceX rocket triggers giant spiral of light above UK and Europe during secret mission - Livescience.com,0.0
NASA Statement on Nomination of Greg Autry for Agency CFO - NASA,0.0
Measles quickly spreading in Kansas counties with alarmingly low vaccination - Ars Technica,0.1667
"HHS taps anti-vaccine activist to look at debunked links between autism and vaccines, sources say - NBC News",0.0
"Measles case confirmed in DC, individual may have exposed others on Amtrak train - ABC News",0.2
Is pollen season in SC worse this year? Here’s what we found - Hilton Head Island Packet,-0.4
