timestamp,headline,link,sentiment
"Wed, 26 Mar 2025 19:46:07 GMT",'F-18s LAUNCH': Atlantic publishes purported Yemen strike details from Signal chat - ABC News,CBMiqAFBVV95cUxPdFBWcldkdnJodXFCQWp6YVBJSGZlV1JBSEtvN3FVMUxMUXotNXVvck0zdUVacmItZmVEUUUxZGlTMWN5NjdrX2tvYVFsM2NoS2lmQ0V3MkhhakdVZ2J2ZVh2ZzNzT285eTliUFh0MUc2NGNKUWRoUGgtVUF0d2FNNlNyWGRKUjdmWE4ySUtQTlF6WWw4WmpULXdUNnhCeHVfdTNzRmpfcHjSAa4BQVVfeXFMTy1Wc2xqY3BhdkZ2bEJqU28wREhvNUxUV3FYVnJiWkJFTFNGSmpSSGlSdE5obWVGUW0xQWpjaEp6SVNPX1VxcGZQQksxU2txVTFHUTNoUFhMRnlHZkxCS0wwRk0wOXE1SXVvZVlFQWhqSEZNQmFZcXBhb0pTbDVuMVFrNHlQVWVaMzlna3VBRi1yWW0zVWpyUHVYTDBLOE1QZWFiTUEwVzVBVFRxSzlR,0.0
"Wed, 26 Mar 2025 20:59:44 GMT",Alien Enemies Act deportations blocked by appeals court - Axios,CBMigAFBVV95cUxONDlSbGtZbC1CS0VwbUU4VjQxOWJLUVJ0NmE5THkwLVE1amtoamRzZEtiWnZIWGpOdHRWbWpsVWJoS3VQellLNXBsd0R3YlItWUY1RzBsdGY4THgxSEN1c0RpYzUzcVpreUFIQWRrVEZFbVR2SHozcWx4SHpXalU4bw,-0.25
"Wed, 26 Mar 2025 19:49:56 GMT",Tufts international graduate student taken into ICE custody - GBH News,CBMipAFBVV95cUxPbUI2Z1V6N0VxNEUxUUkteTZaeHd0djJBZDVXUWRWbUlHZlVlOUloOE9tdW1QeTh2cjh0dS16WXlNVlIwWlVpeTkyTk5yT29mRTRvOHVicFoxQV9hRkpFSV9VN0wwcjJicEFvZE5rWTNHVW5ZRGQ3R2IwTC01TTI0WlYwV0NmeXNVVGNjRzE4MWRtbGh4Z0g2TXdfZTNSYmtQdGlXZQ,0.0
"Wed, 26 Mar 2025 17:22:00 GMT","Trump administration pulls back billions in Covid-era funding for state, local health departments - CNN",CBMijgFBVV95cUxNbnNtZk1nQmZlZXRvd0pXOEhtLTFoOVdranpsYVlJYTVLMWotdlFuV21FQmZHbDhvaEZ0MXgyZnphVURUYnRkclZiWVFWSHM1cTRkSEE5THJrbThIbzBGNzJuVDNRdFlWVmlGMjhVN2w1WVg0UnpTM2hkRktxRkZSNFdzMnVWVHBudzBmZWl30gGEAUFVX3lxTFBERlk0UlJxclB1Znp4QmptalJMaTZ3LVU1bUxXNGIxVHdYQkp3cXBUR3RBS2luRWUwMTZVNVg4aDRCVWFvZ2tGSjJDbzBOMWRnWjRTYnQ5RF9PWnhTbFhKWG92c2J1a1FlMGd6NVJVVFlETnZ6S3dmQXFGalJnUnNNVzRmQQ,0.0
"Wed, 26 Mar 2025 22:29:03 GMT",Trump floats tariff reduction if China agrees to TikTok deal - NBC News,CBMiuwFBVV95cUxQYzYtSXBGc2ZidGZCQXhUNnBPZTVNUlQzUlUwN1pCTjlwOUxZeGxHS0pBWXZQYkZMakNZZXZDZXoyYmJpbUNnNTJVaHN1cGZTek1CellERXowdHVSNno0a1JsdHY2RHJHYXoxWkFRZmt6Z2ZzWEs5S21XUG5EM2pfVFhWaVRYRV81aDBVbmZTQ0xLaTkyd3o0cFB4ak5kU2FNMTZCWlBTcWw3UHlnMkZCOFQ5ZTgwVG4tUFZR,0.0
"Wed, 26 Mar 2025 17:27:00 GMT",NPR and PBS testify in heated hearing of Marjorie Taylor Greene’s Doge panel - The Guardian US,CBMifEFVX3lxTE1iTFFDTFR3RXB3OHA3OEZSOUhyUFhiUHNhRTZJT3Z6WnB2bG9uMVhNcmlMS2NLZkxhQm4yd0I4ellWcExCSlVTT1pIc2puczVidTlNVG1MM3JBZnFPYWRhUERJRzNfbmtKanFFX20zM3V1U2MwT0UwdzZxNlU,0.0
"Wed, 26 Mar 2025 22:41:00 GMT",Democrats take hope from upset win in a GOP-leaning Pennsylvania state Senate district - The Associated Press,CBMisAFBVV95cUxPemVEV0dRYmdzVHIzUUtpNUVKLU00QVhyanJRbkxBc3JkVV93Vm9WZ3I2OWxvVDZmWVJsaVB4VXBlN21IZFNaOEZveGNsUUl6QlVKNVJURVVqb0hNdTlKVEg1MFd5eGR5Ri02QTV1ZzlnOXZaend0N2p4ak0tQjZad0V1NVBuUmhmVFQ3YWNqUDctdzNVSDZmOFdJSDdJTDc4MlJwYmFfaXlDdUtHUVF6WA,0.8
"Wed, 26 Mar 2025 18:11:10 GMT","Luigi Mangione Was Sent Socks With Heart-Shaped Notes Inside, Prosecutors Say - The New York Times",CBMihgFBVV95cUxPcUM5eHc4N1BfdnJyQkw2cmZPdEJwYXhTSHo2WjJPTU1MRE1XcUVoMnJXeVNncEk3WWo3Z0wwNWY4SGZGeUxNWDA2YV92V05pNl9QRXkwS0dleGJrM3hkaF8zVk5wSFByaGpwZ0JEcER6QXdhTVBJRUY2VTg5N25KcVZMLV9QUQ,0.1364
"Wed, 26 Mar 2025 09:33:45 GMT",Trump signs new executive order to change election rules: What we know - Al Jazeera English,CBMirwFBVV95cUxPV3FKSjdvc3lneWZxdDhJMTUxcFhpR285c2g1VkxwbHAxRDhLeUlZMlBIWmxBaF9ZUE56MDdDRE43eTBodmRXc2NqeTh6RzNwVG9tclZOZm5YRzRnVVpSeG9SbE1URUtHWlhzU2xNSDVzLTFGNF9KT0VqSmpWLTBmQUtLX2pYbUJWamw0TGZmSnc3d0xTbU56TkhCOVhjRU9LamNTcnJFcTloMWk3TXIw0gG0AUFVX3lxTE1RZmItT2JaSUc1aFZyRXhxOTQtSVNpZkdlRkpYbl9oZW5UMng2SGV4ampseDREalE5aldfcTVXZVNSQkF5SGg0TjhseUVMeHlDTk9pam56M2xjM2lacW5pVmtsaGdfS3QxbWI2V19QVHRRYUlhczVpa2FOdHEzM2kyZFBHckdaUEFVb2ZDOFFRdDdpSV9KUzB4SjYtXy1xazJJWGZhak9UOTE5V21WazhiMVRvSw,0.0682
"Wed, 26 Mar 2025 20:28:24 GMT",Denmark welcomes US decision to skip Greenland dog-sled race amid Trump spat - Reuters,CBMilgFBVV95cUxNRTV1QnVNb2t3aFhZMEczcWJ2NW10ekVydzBMRDRfTkFxbU42UWJXZmJfMzFCLVphQ19EalVMZnc3cnVINldtOVN1emdjcnpCUU42NmptckVkMXptQmZjTktMbzNqV3FiTkZFN2ZzdklvSV9ZSnpVTTYzTm0zR2d3VjlWNTdMMjJZUm1vbzYtckJod2tFUmc,0.0
